# Time (s),Frame,IC-RP,norm_IC-RP,nrm_stdev IC-RP,gen_IMS-RP,stdev_IMS-RP,EC-RP,norm_EC-RP,nrm_stdev_EC-RP,# IC-RP and EC-RP aligned by frame of MOMP. Data values padded to frame zero. Stdev of IMS-RP taken to be .2 of value
54540,303,1.3716,0.8977,0.2568,1.0000,2.0000E-01,1.2580,0.9814,0.0918,
54720,304,1.4032,0.9375,0.2535,1.0000,2.0000E-01,1.2650,0.9898,0.0885,
54900,305,1.3775,0.9052,0.2554,1.0000,2.0000E-01,1.2659,0.9909,0.0884,
55080,306,1.3493,0.8697,0.2648,1.0000,2.0000E-01,1.2678,0.9932,0.0908,
55260,307,1.3727,0.8991,0.2515,1.0000,2.0000E-01,1.2660,0.9910,0.0937,
55440,308,1.3861,0.9160,0.2551,1.0000,2.0000E-01,1.2649,0.9897,0.0899,
55620,309,1.3879,0.9182,0.2632,1.0000,2.0000E-01,1.2621,0.9863,0.0917,
55800,310,1.3164,0.8283,0.2808,1.0000,2.0000E-01,1.2678,0.9932,0.0923,
55980,311,1.3752,0.9023,0.2709,1.0000,2.0000E-01,1.2651,0.9900,0.0910,
56160,312,1.3701,0.8958,0.2724,1.0000,2.0000E-01,1.2605,0.9844,0.0880,
56340,313,1.3936,0.9254,0.2722,1.0000,2.0000E-01,1.2623,0.9866,0.0875,
56520,314,1.3801,0.9084,0.2599,1.0000,2.0000E-01,1.2623,0.9866,0.0955,
56700,315,1.3912,0.9224,0.2575,1.0000,2.0000E-01,1.2635,0.9880,0.0881,
56880,316,1.4032,0.9375,0.2547,1.0000,2.0000E-01,1.2664,0.9915,0.0924,
57060,317,1.3941,0.9260,0.2521,1.0000,2.0000E-01,1.2584,0.9818,0.0878,
57240,318,1.3761,0.9034,0.2608,1.0000,2.0000E-01,1.2623,0.9866,0.0928,
57420,319,1.3673,0.8923,0.2724,1.0000,2.0000E-01,1.2622,0.9864,0.0891,
57600,320,1.4113,0.9477,0.2583,1.0000,2.0000E-01,1.2538,0.9763,0.0924,
57780,321,1.3446,0.8638,0.2878,1.0000,2.0000E-01,1.2639,0.9885,0.0926,
57960,322,1.3880,0.9184,0.2778,1.0000,2.0000E-01,1.2676,0.9930,0.0930,
58140,323,1.3547,0.8765,0.2899,1.0000,2.0000E-01,1.2624,0.9867,0.0950,
58320,324,1.3711,0.8971,0.2794,1.0000,2.0000E-01,1.2608,0.9848,0.0931,
58500,325,1.3611,0.8845,0.2833,1.0000,2.0000E-01,1.2651,0.9900,0.0981,
58680,326,1.3478,0.8678,0.2902,1.0000,2.0000E-01,1.2633,0.9878,0.0932,
58860,327,1.3475,0.8674,0.2962,1.0000,2.0000E-01,1.2734,1.0000,0.0944,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
