Apaf_0 , 100000.0 , 113887.27698
BAR_0 , 1000.0 , 892.714156691
Bad_0 , 1000.0 , 1144.08143608
Bak_0 , 20000.0 , 17209.9929906
Bax_0 , 80000.0 , 90585.1990629
Bcl2_0 , 20000.0 , 25983.2661295
BclxL_0 , 20000.0 , 19486.0745604
Bid_0 , 40000.0 , 46222.5634124
C3_0 , 10000.0 , 8879.17681053
C6_0 , 10000.0 , 7862.23318003
C8_0 , 20000.0 , 20418.4902885
C9_0 , 100000.0 , 104091.136064
CytoC_0 , 500000.0 , 493790.18079
L_0 , 3000 , 3115.03273206
Mcl1_0 , 20000.0 , 22783.0151966
NOXA_0 , 1000.0 , 740.426807762
PARP_0 , 1000000.0 , 1171132.04241
R_0 , 200 , 168.204253004
Smac_0 , 100000.0 , 98500.2565323
XIAP_0 , 100000.0 , 77680.0504012
bakbclxlf , 1.428571e-05 , 1.33599809309e-05
bakbclxlr , 0.001 , 0.00540105880129
bakmcl1f , 1.428571e-05 , 9.92575165498e-05
bakmcl1r , 0.001 , 7.98092496635e-08
baxbcl2f , 1.428571e-05 , 6.57694191147e-08
baxbcl2r , 0.001 , 0.00591950155325
baxbclxlf , 1.428571e-05 , 9.22119856598e-05
baxbclxlr , 0.001 , 0.000531004193154
bidbclxlf , 1.428571e-05 , 0.000121192629558
bidbclxlr , 0.001 , 0.000272905285517
flip_0 , 100.0 , 87.3986095602
kapafc9f , 5e-08 , 4.74267544226e-08
kapafc9r , 0.001 , 0.00105590313877
kapopc3c , 1.0 , 0.85214522666
kapopc3f , 5e-09 , 5.32224363261e-09
kapopc3r , 0.001 , 0.00124756105201
kapopxiapf , 2e-06 , 1.71753582081e-06
kapopxiapr , 0.001 , 0.000911168482293
kbadCbadMf , 0.01 , 0.00341337317359
kbadCbadMr , 0.01 , 0.00367150301796
kbadbcl2f , 1.428571e-05 , 4.8623393855e-05
kbadbcl2r , 0.001 , 0.00199539869255
kbadbclxlf , 1.428571e-05 , 6.5752385002e-05
kbadbclxlr , 0.001 , 0.000219965845948
kbakbakc , 1.0 , 1.0378795747
kbakbakf , 1e-07 , 1.50661321077e-07
kbakbakr , 0.001 , 0.000519283382728
kbakcytocMCc , 1.0 , 1.15508297491
kbakcytocMCf , 2.857143e-05 , 2.52548984423e-05
kbakcytocMCr , 0.001 , 0.00105319651463
kbakdimf , 0.0002040816 , 0.0020623277101
kbakdimr , 0.001 , 0.00197184785816
kbaksmacCAc , 1.0 , 0.808590508914
kbaksmacCAf , 2.857143e-05 , 2.52187749375e-05
kbaksmacCAr , 0.001 , 0.00101412082373
kbaktetf , 0.0002040816 , 0.00109463359989
kbaktetr , 0.001 , 0.0173104778336
kbaktrimf , 0.0002040816 , 1.98220261722e-05
kbaktrimr , 0.001 , 0.00373623478225
kbarc8f , 1e-06 , 1.21907154497e-06
kbarc8r , 0.001 , 0.00100985805678
kbaxCbaxMf , 0.01 , 0.015896116893
kbaxCbaxMr , 0.01 , 0.0100288971736
kbaxbaxc , 1.0 , 6.2839182406
kbaxbaxf , 1e-07 , 3.75285808777e-08
kbaxbaxr , 0.001 , 0.000334611510167
kbaxbclxl_RAc , 1.0 , 0.770345676029
kbaxbclxl_RAf , 0.0002040816 , 0.00285108519346
kbaxbclxl_RAr , 0.001 , 0.00112833166487
kbaxcytocMCc , 1.0 , 1.13754648698
kbaxcytocMCf , 2.857143e-05 , 2.73694452822e-05
kbaxcytocMCr , 0.001 , 0.00100058170214
kbaxdimf , 0.0002040816 , 0.000717943349746
kbaxdimr , 0.001 , 0.00011241406717
kbaxsmacCAc , 1.0 , 1.0635263076
kbaxsmacCAf , 2.857143e-05 , 2.32325380547e-05
kbaxsmacCAr , 0.001 , 0.00121839361154
kbaxtetf , 0.0002040816 , 4.24341145363e-05
kbaxtetr , 0.001 , 0.00397838944453
kbaxtrimf , 0.0002040816 , 0.000173993280752
kbaxtrimr , 0.001 , 0.000418738765351
kbcl2Cbcl2Mf , 0.01 , 0.0453917544482
kbcl2Cbcl2Mr , 0.01 , 0.00110855870091
kbclxlCbclxlMf , 0.01 , 0.00669827054155
kbclxlCbclxlMr , 0.01 , 0.0588817230286
kbidTbidMf , 0.01 , 0.000353464790056
kbidTbidMr , 0.01 , 0.0160247003071
kbidbakc , 1.0 , 0.236998779903
kbidbakf , 1e-07 , 3.9559932778e-08
kbidbakr , 0.001 , 9.33365286366e-05
kbidbaxc , 1.0 , 4.53490103881
kbidbaxf , 1e-07 , 6.84631298564e-12
kbidbaxr , 0.001 , 0.000929726969432
kbidbcl2f , 1.428571e-05 , 0.000107451204211
kbidbcl2r , 0.001 , 9.44677575692e-06
kbidbclxl_RAc , 1.0 , 0.391310205134
kbidbclxl_RAf , 0.0002040816 , 0.000358153099143
kbidbclxl_RAr , 0.001 , 0.0111963908898
kc3c6c , 1.0 , 0.955110800078
kc3c6f , 1e-06 , 1.24432118391e-06
kc3c6r , 0.001 , 0.000968808081076
kc3parpc , 1.0 , 0.763908004396
kc3parpf , 1e-06 , 1.0342508915e-06
kc3parpr , 0.01 , 0.00884421904501
kc6c8c , 1.0 , 0.973675585155
kc6c8f , 3e-08 , 3.59319235395e-08
kc6c8r , 0.001 , 0.00115447826962
kc8bidc , 1.0 , 5.65594314604
kc8bidf , 1e-07 , 1.80522918396e-07
kc8bidr , 0.001 , 0.00958952418812
kc8c3c , 1.0 , 1.05916080441
kc8c3f , 1e-07 , 1.6202372445e-07
kc8c3r , 0.001 , 0.00106377760494
kcytocCapafc , 1.0 , 1.16851240118
