# Name,EARM1,m1,m2
kcytocCcytoAf,0.01,0.00684185933887,0.00757664585793
kcytocCcytoAr,0.01,0.0107576413385,0.0156641668835
kdiscc8c,1.0,0.811884795234,1.08721443324
kdiscc8f,1e-06,8.76224325873e-07,9.96845155524e-07
kdiscc8r,0.001,0.00107947997256,0.00142857426016
kflipdiscf,1e-06,7.86921054952e-07,5.08935603276e-07
kflipdiscr,0.001,0.0010797227363,0.00147084118239
klrc,1e-05,8.99380870746e-06,7.34281162588e-06
klrf,4e-07,2.67744187631e-07,1.60688189189e-07
klrr,0.001,0.000893226934183,9.20666148672e-05
knoxabclxlf,1.428571e-05,1.09492477461e-05,0.000244982085327
knoxabclxlr,0.001,0.00050107629294,1.79163903709e-06
knoxamcl1f,1.428571e-05,1.95736666203e-06,6.81877278525e-09
knoxamcl1r,0.001,0.00855322989988,0.000363848169676
ksmacCsmacAf,0.01,0.00818691715611,0.038490946988
ksmacCsmacAr,0.01,0.00835564832635,0.0392545171004
ksmacxiapf,7e-06,8.09268455777e-06,5.55269746021e-09
ksmacxiapr,0.001,0.000931255014394,0.00272702625014
kxiapc3c,0.1,0.112914439962,0.24767476092
kxiapc3f,2e-06,1.15658454256e-06,1.68369237337e-06
kxiapc3r,0.001,0.00106229389317,0.00113417814177
